1400136c8	.?AVCImage@ATL@@	refs=
1400136f0	.PEAX	refs=
140013708	.PEAVCObject@@	refs=
140013728	.PEAVCSimpleException@@	refs=
140013750	.PEAVCMemoryException@@	refs=
140013778	.?AVCMemoryException@@	refs=
1400137a0	.?AVCSimpleException@@	refs=
1400137c8	.?AVCException@@	refs=
1400137f0	.?AVCStatic@@	refs=
140013810	.?AVCSliderCtrl@@	refs=
140013838	.?AVCComboBox@@	refs=
140013858	.?AVCWnd@@	refs=
140027470	Dialog	refs=
140027580	Dialog	refs=
140027a20		refs=
140027a22		refs=
140027a24		refs=
140027a26		refs=
140027a28		refs=
140027a2a	关于 DSPI(&A)...	refs=140003545
140027a48		refs=
140027a4a		refs=
140027a4c		refs=
140027a4e		refs=
140027a50		refs=
140027a52		refs=
140027a54		refs=
140027a56		refs=
140027a58		refs=
140027a5a		refs=
140027a5c	GroupIcon	refs=
140027a70	GroupIcon	refs=1400032b4
140027ae6	StringFileInfo	refs=
140027b0a	080404B0	refs=
140027b22	CompanyName	refs=
140027b3c	TODO: <公司名>	refs=
140027b5a	FileDescription	refs=
140027b7c	DSPI	refs=
140027b8e	FileVersion	refs=
140027ba8	1.0.0.1	refs=
140027bbe	InternalName	refs=
140027bd8	DSPI.exe	refs=
140027bf2	LegalCopyright	refs=
140027c10	TODO: (C) <公司名>。保留所有权利。	refs=
140027c46	OriginalFilename	refs=
140027c68	DSPI.exe	refs=
140027c82	ProductName	refs=
140027c9c	TODO: <产品名>	refs=
140027cba	ProductVersion	refs=
140027cd8	1.0.0.1	refs=
140027cee	VarFileInfo	refs=
140027d0e	Translation	refs=
140027d2c	���<?xml version="1.0" encoding="UTF-8" standalone="yes"?>\r\n<assembly xmlns="urn:schemas-microsoft-com:asm.v1" manifestVersion="1.0"><trustInfo xmlns="urn:schemas-microsoft-com:asm.v3"><security><requestedPrivileges><requestedExecutionLevel level="asInvoker" uiAccess="false"></requestedExecutionLevel></requestedPrivileges></security></trustInfo><application xmlns="urn:schemas-microsoft-com:asm.v3"><windowsSettings><dpiAware xmlns="http://schemas.microsoft.com/SMI/2005/WindowsSettings">true</dpiAware></windowsSettings></application></assembly>	refs=
ff000002d0		refs=
ff000002ee		refs=
ff00001268		refs=
ff00001710	00000000-0000-0000-0000-000000000000	refs=
